b,x1,x2,x3,x4,Cm
-0.1,-0.44069,-1.09072,0.45775,0.44271000000000005,0.0
0.0,-0.38889,-1.0648549999999999,0.37366499999999997,0.5388280000000001,2.0
-0.1,-0.372782,-0.41861499999999985,-0.4620650000000001,0.6909880000000002,2.0
0.0,-0.8304819999999999,-0.07346499999999984,-0.3953460000000001,0.5962460000000002,5.0
0.1,-1.040102,-0.784055,0.26653399999999994,0.5625380000000002,2.0
0.0,-0.7609620000000001,-0.961395,-0.4110260000000001,0.6024530000000002,2.0
0.1,-0.7584607000000001,-0.621415,-0.8542960000000002,0.1759030000000002,2.0
0.2,-0.8703407000000001,-0.287845,-0.9888460000000001,-0.019826999999999817,4.0
0.30000000000000004,-1.0937407000000001,-0.990985,-0.2394860000000001,0.04150700000000018,42.0
0.4,-1.7445807000000002,-0.11402499999999993,-0.21629500000000007,-0.3521929999999998,2.0
0.30000000000000004,-1.5938307000000003,-0.30626499999999995,-0.9309550000000002,-0.4413289999999998,9.0
0.4,-1.4586507000000002,-0.20031499999999994,-1.1653250000000002,-0.40133099999999977,5.0
0.5,-1.4946757000000002,-0.645215,-0.9546550000000001,-0.30702299999999977,2.0
0.4,-1.3088357000000002,-1.433815,-0.7882250000000002,-0.12318299999999976,16.0
0.5,-1.2347687,-1.260825,-1.1078550000000003,-0.13775299999999976,4.0
0.6,-1.4935687,-0.874285,-1.1412150000000003,-0.26572299999999976,6.0
0.7,-1.8166187,-1.5956350000000001,0.023114999999999775,-0.36033599999999977,3.0
0.7999999999999999,-1.7870987,-1.107075,-0.49178500000000025,-0.9835659999999998,3.0
0.7,-1.9612987,-0.6261749999999999,-1.3132050000000004,-0.7769759999999998,17.0
0.7999999999999999,-1.9582768,-0.7312949999999999,-1.1729650000000005,-0.6996069999999998,3.0
0.8999999999999999,-1.7992367999999999,-0.5100849999999999,-1.4847950000000005,-0.7113319999999997,17.0
0.9999999999999999,-1.8650037999999998,-0.790265,-1.1136450000000004,-0.6115929999999997,8.0
0.8999999999999999,-1.5951137999999998,-2.0101050000000003,-1.1813060000000004,0.2432270000000003,15.0
0.9999999999999999,-1.7589737999999997,-1.6742650000000001,-1.3543260000000004,-0.1132329999999997,9.0
0.8999999999999999,-1.7918937999999998,-1.2287450000000002,-1.8115060000000003,-0.014352999999999685,19.0
0.9999999999999999,-2.0456237999999995,-1.9246450000000002,-0.9309660000000002,0.1385370000000003,12.0
1.0999999999999999,-2.2706337999999997,-1.593355,-1.019335,-0.15120299999999975,7.0
1.2,-2.1256237999999996,-1.232685,-1.424905,-0.3108629999999998,46.0
1.3,-1.9061937999999996,-0.777655,-1.9225050000000001,-0.5834029999999998,6.0
1.4000000000000001,-2.0810937999999997,-1.410855,-1.3126350000000002,-0.5691369999999998,3.0
1.5000000000000002,-1.9321337999999997,-1.067975,-1.7157250000000002,-0.7117269999999998,9.0
1.6000000000000003,-2.0042017999999997,-1.743805,-1.1316450000000002,-0.6493579999999998,3.0
1.5000000000000002,-2.2203617999999996,-1.055765,-1.9468150000000004,-0.6412531999999997,93.0
1.6000000000000003,-2.4799717999999995,-1.9906650000000001,-0.9673950000000003,-0.6692711999999997,3.0
1.7000000000000004,-2.3119817999999994,-1.569985,-1.4213750000000003,-0.9085811999999998,38.0
1.6000000000000003,-2.2475097999999996,-1.109365,-2.256075,-0.6375911999999997,14.0
1.7000000000000004,-2.5301797999999995,-2.013435,-1.349135,-0.7358241999999997,20.0
1.8000000000000005,-2.3514297999999996,-1.5354349999999999,-1.862755,-1.0594441999999997,14.0
1.7000000000000004,-2.2727397999999996,-2.492065,-1.4840849999999999,-0.3091041999999997,37.0
1.6000000000000003,-2.4819598,-1.8110650000000001,-2.330445,-0.24888819999999973,1.0
1.7000000000000004,-2.8411198,-2.4339150000000003,-1.3065550000000001,-0.36431819999999976,40.0
1.8000000000000005,-2.8137887999999998,-1.9461850000000003,-1.7984950000000002,-0.9462981999999998,3.0
1.9000000000000006,-2.6106887999999997,-1.7609850000000002,-2.099705,-0.9459978999999997,67.0
1.8000000000000005,-2.5319987999999998,-2.7176150000000003,-1.721035,-0.19565789999999972,86.0
